alcostg	黄昏酒場～Uwabami Breakers～
th06	東方紅魔郷　～ the Embodiment of Scarlet Devil
th07	東方妖々夢　～ Perfect Cherry Blossom
th08	東方永夜抄　～ Imperishable Night
th09	東方花映塚　～ Phantasmagoria of Flower View
th095	東方文花帖　～ Shoot the Bullet
th10	東方風神録　～ Mountain of Faith
th11	東方地霊殿　～ Subterranean Animism
th12	東方星蓮船　～ Undefined Fantastic Object
th125	ダブルスポイラー　～ 東方文花帖
th128	妖精大戦争　～ 東方三月精
th13	東方神霊廟　～ Ten Desires
th14	東方輝針城　～  Double Dealing Character
th143	弾幕アマノジャク　～ Impossible Spell Card
th15	東方紺珠伝 ～ Legacy of Lunatic Kingdom
th16	東方天空璋　～ Hidden Star in Four Seasons
th165	秘封ナイトメアダイアリー　〜 Violet Detector
th17	東方鬼形獣 　～ Wily Beast and Weakest Creature
th18	東方虹龍洞　〜 Unconnected Marketeers
